-1.4538113,-48.5033622,Av. 16 de Novembro x Av. Portugal
-1.4636244,-48.4954076,Av. 16 de Novembro x Av Conselheiro Furtado
-1.4587829,-48.4993741,Seg1.Av. Tamandaré x 16 de Novembro - Sent.Tv. Padre Eutiquio
-1.4566271,-48.4958925,Seg1.Av. Tamandaré x  Tv. Padre Eutiquio
-1.4589545,-48.4992855,Seg2.Av. Tamandaré x 16 de Novembro - Sent.Tv. Padre Eutiquio
-1.4567505,-48.495745,Seg2.Av. Tamandaré x  Tv. Padre Eutiquio
-1.4613894,-48.50366,Seg1.Av.Tamandaré x R. Dr. Malcher
-1.4587829,-48.4993741,Seg1.Av. Tamandaré x 16 de Novembro
-1.4616414,-48.5036586,Seg2.Av.Tamandaré x R. Dr. Malcher
-1.4589545,-48.4992855,Seg2.Av. Tamandaré x 16 de Novembro
-1.4747803,-48.4720059,Tv. Padre Eutiquio  x Av. Bernado Sayão
-1.4515529,-48.5026491,Tv. Padre Eutiquio  x Av. blvd. Castilhos França
-1.4679126,-48.5015484,R. Cesário Alvim x Av. Bernado Sayão
-1.4629629,-48.4961786,R. Cesário Alvim x Na. 16 de Novembro
-1.4755347,-48.4942056,R. Eng. Fernando Guilion x Av. Bernado Sayão
-1.4626214,-48.4735633,R. Eng. Fernando Guilion x Tv. Três de Maio
-1.4772411,-48.4867291,Tv. Quintino Bocaiúva x Av. Bernado Sayão
-1.4662711,-48.4831148,Tv. Quintino Bocaiúva x Tv. Padre Eutiquio
-1.47598,-48.4595368,Av. Bernado Sayão x Av. Perimetral - Sent.Portal da Amazônia
-1.4662538,-48.502354,Av. Bernado Sayão x Portal da Amazônia
-1.4760796,-48.4595548,Av. Bernado Sayão x  Portal da Amazônia - Sent. Perimetral
-1.4663662,-48.5023881,Av. Bernado Sayão x Av. Perimetral
-1.4073188,-48.4356467,Av. Augusto Montenegro x Av. Alm. Barroso - Sent. Rua dois de Dezembro
-1.3018153,-48.4776927,Av. Augusto Montenegro x  Rua dois de Dezembro
-1.3018381,-48.4775718,Av. Augusto Montenegro x  Rua dois de Dezembro - Sent.Av. Alm. Barroso
-1.4071809,-48.4360736,Av. Augusto Montenegro x  Av. Alm. Barroso - Sent. Rua dois de Dezembro
-1.3726762,-48.4427528,Av. Independência x AV. Augusto Montenegro - Sent.Br-316
-1.3658172,-48.3662197,Av. Independência x Rod.BR-316
-1.3655775,-48.3651732,Av. Independência x Rod.BR-316 - Sent.Av. Augusto Montenegro
